"effect","group","term","estimate","std.error","statistic","df","p.value","abs.estimate","plus.minus","log.estimate","log.std.error","sig.flag","conf.low","conf.high","log.conf.low","log.conf.high","ci95.low","ci95.high","experiment","trial","sample ID","hypothesis","Combined ID"
"fixed",NA,"days.from.injection",-8.47454831989471,7.81198245408359,-1.08481404940493,71.999999941766,0.28162308575243,8.47454831989471,"n",-0.928116560278685,0.892761259180175,"NS",-16.2865307739783,-0.662565865811126,-1.82087781945886,-0.03535530109851,-23.7860339298985,6.83693729010912,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"days2",2.74983231218203,0.386934445600511,7.10671366544886,71.9999999667698,7.0234633989137e-10,2.74983231218203,"p",0.439306210879541,0.412362606881635,"S",2.36289786658152,3.13676675778254,0.0269436039979062,0.851668817761177,1.99144079880503,3.50822382555903,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"treatmentAnti-PD1",106.841064453193,66.7331964134982,1.60101823672846,18.0714330922442,0.126708658885537,106.841064453193,"p",2.0287382062292,1.82434192736085,"NS",40.1078680396944,173.574260866691,0.204396278868349,3.85308013359005,-23.9560005172638,237.638129423649,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"gavagePost-BRB",18.0288882403136,74.6099817682135,0.241641772495306,18.0714330878826,0.811778461087068,18.0288882403136,"p",1.2559689465791,1.87279693386488,"NS",-56.5810935278999,92.6388700085271,-0.616827987285778,3.12876588044398,-128.206676025385,164.264452506012,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"days2:treatmentAnti-PD1",-1.98495568189335,0.263003597038464,-7.54725678372775,72.0000000322794,1.07036038009355e-10,1.98495568189335,"n",-0.297750814714231,0.580038311725933,"S",-2.24795927893181,-1.72195208485488,-0.877789126440164,0.282287497011702,-2.50044273208874,-1.46946863169796,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"days2:gavagePost-BRB",-1.15350659504539,0.294046960652484,-3.92286522018721,72.0000000272373,0.000197830146110891,1.15350659504539,"n",-0.0620200818945043,0.531583305221905,"S",-1.44755355569787,-0.859459634392903,-0.593603387116409,0.469563223327401,-1.72983863792426,-0.577174552166519,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"treatmentAnti-PD1:gavagePost-BRB",-33.2404800163125,100.099794620247,-0.332073408765905,18.0714330898996,0.743654410059678,33.2404800163125,"n",-1.52166728668038,2.00043318641653,"NS",-133.34027463656,66.8593146039347,-3.52210047309691,0.478765899736153,-229.436077471997,162.955117439372,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"days2:treatmentAnti-PD1:gavagePost-BRB",0.883393520229278,0.394505395557696,2.23924318951446,72.0000000238748,0.0282300936491953,0.883393520229278,"p",-0.0538457906549307,0.403947052670252,"S",0.488888124671582,1.27789891578697,-0.457792843325183,0.350101262015321,0.110162944936194,1.65662409552236,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
"fixed",NA,"days.from.injection",0.290630496687266,6.19135359446562,0.046941350102675,76.1858331853698,0.962682804205111,0.290630496687266,"p",-0.536658815887695,0.791785607718294,"NS",-5.90072309777835,6.48198409115288,-1.32844442360599,0.255126791830599,-11.8444225484653,12.4256835418399,"mimic11","BEWELL","HONC60-79","Lachnospira","Lachnospira (79)"
"fixed",NA,"days2",2.80150384746921,0.331301645200192,8.45605172221941,77.4443516864595,1.29029627710526e-12,2.80150384746921,"p",0.447391223246028,0.479776407463675,"S",2.47020220226902,3.1328054926694,-0.0323851842176467,0.927167630709704,2.15215262287683,3.45085507206159,"mimic11","BEWELL","HONC60-79","Lachnospira","Lachnospira (79)"
